Activision,atvi,0.56%,Tuesday,4-May,4:05 PM ET

Adobe,adbe,0.99%,Tuesday,22-Jun,4:05 PM ET

Advanced,amd,3.12%,Tuesday,27-Apr,4:10 PM ET

Alexion,alxn,0.47%,Monday,3-May,8:00 AM ET

Align,algn,0.12%,Wednesday,28-Apr,4:00 PM ET

Alphabet,goog,1.11%,Tuesday,27-Apr,4:15 PM ET

Alphabet,googl,1.13%,Tuesday,27-Apr,4:30 PM ET

Amazon.com,amzn,1.58%,Thursday,29-Apr,4:00 PM ET

Amgen,amgn,1.44%,Tuesday,27-Apr,4:00 PM ET

Analog,adi,1.84%,Wednesday,19-May,8:00 AM ET

ANSYS,anss,0.29%,Wednesday,5-May,4:10 PM ET

Apple,aapl,1.17%,Wednesday,28-Apr,4:30 PM ET

Applied,amat,2.44%,Thursday,20-May,4:00 PM ET

ASML,asml,1.28%,Wednesday,21-Apr,1:00 AM ET

Autodesk,adsk,0.30%,Thursday,27-May,4:05 PM ET

Automatic,adp,0.27%,Wednesday,28-Apr,7:00 AM ET

Baidu,bidu,0.04%,Wednesday,19-May,4:30 PM ET

Biogen,biib,4.02%,Thursday,22-Apr,7:00 AM ET

BioMarin,bmrn,0.47%,Thursday,29-Apr,4:05 PM ET

Booking,bkng,0.45%,Wednesday,26-May,4:20 PM ET

Broadcom,avgo,1.02%,Thursday,3-Jun,4:15 PM ET

Cadence,cdns,1.02%,Monday,26-Apr,4:05 PM ET

CDW,cdw,0.53%,Wednesday,5-May,7:00 AM ET

Cerner,cern,0.07%,Wednesday,5-May,7:00 AM ET

Charter,chtr,0.73%,Friday,30-Apr,7:00 AM ET

Check,chkp,0.13%,Monday,26-Apr,5:00 AM ET

Cintas,ctas,0.26%,Wednesday,16-Jun,8:30 AM ET

Cisco,csco,0.83%,Thursday,27-May,4:05 PM ET

Citrix,ctxs,0.85%,Thursday,29-Apr,6:00 AM ET

Cognizant,ctsh,0.26%,Wednesday,5-May,4:00 PM ET

Comcast,cmcsa,0.48%,Thursday,29-Apr,7:00 AM ET

Copart,cprt,0.28%,Thursday,20-May,4:30 PM ET

Costco,cost,0.76%,Thursday,3-Jun,4:15 PM ET

CSX,csx,0.85%,Tuesday,20-Jul,4:00 PM ET

DexCom,dxcm,2.18%,Thursday,29-Apr,4:00 PM ET

DocuSign,docu,1.06%,Thursday,10-Jun,4:05 PM ET

Dollar,dltr,1.30%,Wednesday,2-Jun,7:30 AM ET

eBay,ebay,1.68%,Wednesday,28-Apr,4:05 PM ET

Electronic,ea,0.16%,Tuesday,11-May,4:00 PM ET

Exelon,exc,1.31%,Wednesday,5-May,6:50 AM ET

Expedia,expe,0.35%,Thursday,6-May,4:00 PM ET

Facebook,fb,1.64%,Wednesday,28-Apr,4:05 PM ET

Fastenal,fast,0.60%,Tuesday,13-Jul,6:50 AM ET

Fiserv,fisv,0.15%,Tuesday,27-Apr,0:00 AM ET

Fox,fox,0.70%,Wednesday,5-May,4:05 PM ET

Fox,foxa,1.27%,Wednesday,5-May,8:05 AM ET

Gilead,gild,1.72%,Thursday,29-Apr,4:00 PM ET

IDEXX,idxx,0.96%,Tuesday,4-May,6:30 AM ET

Illumina,ilmn,1.26%,Tuesday,27-Apr,4:05 PM ET

Incyte,incy,0.64%,Tuesday,4-May,7:00 AM ET

Intel,intc,1.77%,Thursday,22-Apr,After the close

Intuit,intu,0.53%,Tuesday,25-May,4:00 PM ET

Intuitive,isrg,3.56%,Tuesday,20-Jul,4:05 PM ET

JD.com,jd,0.52%,Thursday,10-Jun,5:30 AM ET

KLA,klac,2.02%,Thursday,29-Apr,4:05 PM ET

Lam,lrcx,4.17%,Wednesday,21-Apr,4:05 PM ET

Liberty,lbtya,3.07%,Monday,17-May,8:00 PM ET

Liberty,lbtyk,3.08%,Monday,17-May,After the close

lululemon,lulu,3.69%,Tuesday,29-Jun,4:05 PM ET

Marriott,mar,1.30%,Monday,10-May,7:00 AM ET

Maxim,mxim,1.77%,Tuesday,27-Apr,4:00 PM ET

MercadoLibre,meli,0.86%,Monday,31-May,4:20 PM ET

Microchip,mchp,2.12%,Thursday,6-May,After the close

Micron,mu,5.34%,Wednesday,30-Jun,4:00 PM ET

Microsoft,msft,1.31%,Tuesday,27-Apr,4:10 PM ET

Moderna,mrna,0.83%,Thursday,6-May,7:00 AM ET

Mondelez,mdlz,0.03%,Tuesday,27-Apr,4:05 PM ET

Monster,mnst,0.49%,Thursday,27-May,4:10 PM ET

NetApp,ntap,0.54%,Wednesday,26-May,4:00 PM ET

NetEase,ntes,2.22%,Thursday,27-May,3:30 AM ET

Netflix,nflx,0.02%,Tuesday,20-Jul,4:00 PM ET

NVIDIA,nvda,3.32%,Wednesday,26-May,4:20 PM ET

NXP,nxpi,2.43%,Monday,26-Apr,4:00 PM ET

O'Reilly,orly,0.69%,Wednesday,28-Apr,4:30 PM ET

PACCAR,pcar,1.52%,Tuesday,27-Apr,8:00 AM ET

Paychex,payx,0.06%,Tuesday,6-Jul,8:30 AM ET

PayPal,pypl,0.99%,Wednesday,5-May,4:15 PM ET

PepsiCo,pep,0.62%,Thursday,15-Jul,6:00 AM ET

QUALCOMM,qcom,2.36%,Wednesday,28-Apr,4:00 PM ET

Regeneron,regn,3.17%,Thursday,6-May,6:30 AM ET

Ross,rost,0.37%,Tuesday,1-Jun,4:00 PM ET

Seattle,sgen,2.60%,Thursday,29-Apr,4:00 PM ET

Sirius,siri,1.41%,Wednesday,28-Apr,7:00 AM ET

Skyworks,swks,1.71%,Thursday,29-Apr,4:00 PM ET

Splunk,splk,0.93%,Wednesday,2-Jun,4:00 PM ET

Starbucks,sbux,0.70%,Tuesday,27-Apr,4:05 PM ET

Synopsys,snps,1.72%,Wednesday,19-May,4:05 PM ET

T-Mobile,tmus,0.30%,Tuesday,4-May,4:00 PM ET

Take-Two,ttwo,1.09%,Tuesday,18-May,4:05 PM ET

